crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v14,2010-01-02,20:00:09,Agresion,Valencia,2010,1,1,2,6,Friday,20,-0.352068841,39.47216415,431.3976985,187.6975,152.694,246.4626,586.0521,629.6246,1583.1688,1181.0842,402.2588,259.4263,1005.069,215,-0.350839885,39.47123075,727773.0151818356,4372522.474078564,2010-01-02 20:00:09,1262462409
v22,2010-01-03,20:45:34,Agresion,Valencia,2010,1,1,3,7,Saturday,20,-0.399680167,39.49519348,413.1253644,333.9833,211.8758,643.7484,2211.0913,2652.1565,1846.5625,2250.24,331.4987,198.3692,484.4193,126,-0.400932715,39.49486475,723603.1550497959,4374959.44518622,2010-01-03 20:45:34,1262551534
v41,2010-01-07,20:59:53,Agresion,Valencia,2010,1,1,7,4,Wednesday,20,-0.36441043,39.42453003,2870.934406,2453.3613,2771.5282,2865.5347,240.2888,3781.5078,3156.8613,2620.3614,2838.9317,409.2172,2856.5932,373,-0.361971625,39.42396275,726865.9057561927,4367203.825370435,2010-01-07 20:59:53,1262897993
v60,2010-01-12,20:27:45,Agresion,Valencia,2010,1,2,12,2,Monday,20,-0.329064995,39.48037338,537.1161553,112.9251,359.6732,389.1232,25.4409,1288.9041,836.8211,785.2022,120.8154,158.5322,1180.2569,179,-0.328576405,39.48304775,729725.038312986,4373492.1650173385,2010-01-12 20:27:45,1263328065
v66,2010-01-14,20:45:01,Agresion,Valencia,2010,1,2,14,4,Wednesday,20,-0.37128529,39.48719788,478.7930565,245.1575,222.2434,449.3181,354.8456,457.4964,512.5023,331.9174,159.5352,392.8556,762.499,151,-0.373103365,39.48895625,726071.091692064,4374142.832734355,2010-01-14 20:45:01,1263501901
v65,2010-01-14,20:50:40,Agresion,Valencia,2010,1,2,14,4,Wednesday,20,-0.369500011,39.45492935,1247.236618,312.7577,396.3754,442.7427,678.3587,703.5739,733.3823,235.317,706.8153,138.6888,717.6776,272,-0.367537495,39.45350525,726329.2593357662,4370565.422226795,2010-01-14 20:50:40,1263502240
v82,2010-01-17,20:36:05,Agresion,Valencia,2010,1,3,17,7,Saturday,20,-0.360309988,39.4595108,798.6127662,329.872,245.8632,505.2077,388.594,918.9794,1238.9394,797.3912,437.8914,132.2102,507.8695,253,-0.361971625,39.45941375,727105.180776585,4371097.104477897,2010-01-17 20:36:05,1263760565
v99,2010-01-21,20:51:01,Sustraccion,Valencia,2010,1,3,21,4,Wednesday,20,-0.356925011,39.47757339,1135.744685,212.919,432.85,172.8915,606.8193,1178.9382,1214.5591,794.5832,430.5288,49.0086,1406.628,194,-0.356405755,39.47713925,727337.6120306525,4373110.644445368,2010-01-21 20:51:01,1264107061
v106,2010-01-22,20:59:54,Agresion,Valencia,2010,1,4,22,5,Thursday,20,-0.374589175,39.46319199,682.5805909,165.612,135.4871,9.24102,48.5761,295.3435,96.4118,958.6723,139.2201,24.1286,431.0461,231,-0.373103365,39.46532225,725864.5980877014,4371469.822294037,2010-01-22 20:59:54,1264193994
v117,2010-01-26,20:53:52,Agresion,Valencia,2010,1,4,26,2,Monday,20,-0.381414175,39.49359131,569.5502867,14.892,765.3185,644.3303,1471.0319,1217.1546,1030.3046,675.38,1066.7904,22.021,1061.9088,130,-0.378669235,39.49486475,725179.2425699355,4374827.134993682,2010-01-26 20:53:52,1264539232
